                                                                                                                                                                           
{'loss': 2.6652, 'grad_norm': 9.924468994140625, 'learning_rate': 4.975288303130148e-06, 'epoch': 0.01}
{'loss': 2.5863, 'grad_norm': 17.888717651367188, 'learning_rate': 5.0082372322899505e-06, 'epoch': 0.01}
{'loss': 2.5057, 'grad_norm': 7.866711616516113, 'learning_rate': 5.0411861614497535e-06, 'epoch': 0.01}
{'loss': 2.7917, 'grad_norm': 16.153059005737305, 'learning_rate': 5.074135090609556e-06, 'epoch': 0.01}
{'loss': 2.4358, 'grad_norm': 8.418302536010742, 'learning_rate': 5.107084019769359e-06, 'epoch': 0.01}
{'loss': 2.2169, 'grad_norm': 6.981879234313965, 'learning_rate': 5.14003294892916e-06, 'epoch': 0.01}
{'loss': 3.114, 'grad_norm': 16.13494300842285, 'learning_rate': 5.172981878088963e-06, 'epoch': 0.01}
{'loss': 2.3829, 'grad_norm': 12.628302574157715, 'learning_rate': 5.205930807248764e-06, 'epoch': 0.01}
{'loss': 2.6431, 'grad_norm': 8.53519058227539, 'learning_rate': 5.238879736408567e-06, 'epoch': 0.01}
{'loss': 2.7455, 'grad_norm': 11.805063247680664, 'learning_rate': 5.2718286655683695e-06, 'epoch': 0.01}
{'loss': 2.2966, 'grad_norm': 10.319397926330566, 'learning_rate': 5.3047775947281725e-06, 'epoch': 0.01}
{'loss': 2.9057, 'grad_norm': 8.025422096252441, 'learning_rate': 5.337726523887974e-06, 'epoch': 0.01}
{'loss': 2.5081, 'grad_norm': 20.005149841308594, 'learning_rate': 5.370675453047777e-06, 'epoch': 0.01}
{'loss': 2.6286, 'grad_norm': 7.2695698738098145, 'learning_rate': 5.403624382207578e-06, 'epoch': 0.01}
{'loss': 2.4579, 'grad_norm': 8.194256782531738, 'learning_rate': 5.436573311367381e-06, 'epoch': 0.01}
{'loss': 2.6003, 'grad_norm': 16.545246124267578, 'learning_rate': 5.469522240527183e-06, 'epoch': 0.01}
{'loss': 2.9078, 'grad_norm': 14.232184410095215, 'learning_rate': 5.502471169686986e-06, 'epoch': 0.01}
{'loss': 2.7019, 'grad_norm': 24.920642852783203, 'learning_rate': 5.5354200988467876e-06, 'epoch': 0.01}
{'loss': 2.6988, 'grad_norm': 7.49239444732666, 'learning_rate': 5.5683690280065906e-06, 'epoch': 0.01}
{'loss': 2.4353, 'grad_norm': 10.153101921081543, 'learning_rate': 5.601317957166392e-06, 'epoch': 0.01}
{'loss': 2.6323, 'grad_norm': 10.027835845947266, 'learning_rate': 5.634266886326195e-06, 'epoch': 0.01}
{'loss': 2.5918, 'grad_norm': 8.43606185913086, 'learning_rate': 5.667215815485997e-06, 'epoch': 0.01}
{'loss': 2.1505, 'grad_norm': 7.560288429260254, 'learning_rate': 5.7001647446458e-06, 'epoch': 0.01}
{'loss': 3.2911, 'grad_norm': 10.932784080505371, 'learning_rate': 5.733113673805601e-06, 'epoch': 0.01}
{'loss': 3.4463, 'grad_norm': 7.722497463226318, 'learning_rate': 5.766062602965404e-06, 'epoch': 0.01}
{'loss': 2.2429, 'grad_norm': 8.599502563476562, 'learning_rate': 5.799011532125206e-06, 'epoch': 0.01}
{'loss': 2.3101, 'grad_norm': 10.293013572692871, 'learning_rate': 5.831960461285009e-06, 'epoch': 0.01}
{'loss': 2.1342, 'grad_norm': 13.198111534118652, 'learning_rate': 5.864909390444811e-06, 'epoch': 0.01}
{'loss': 2.2279, 'grad_norm': 23.68021011352539, 'learning_rate': 5.897858319604614e-06, 'epoch': 0.01}
{'loss': 2.6512, 'grad_norm': 9.691524505615234, 'learning_rate': 5.930807248764415e-06, 'epoch': 0.01}
{'loss': 2.352, 'grad_norm': 6.815151691436768, 'learning_rate': 5.963756177924218e-06, 'epoch': 0.01}
{'loss': 2.4224, 'grad_norm': 22.93962287902832, 'learning_rate': 5.99670510708402e-06, 'epoch': 0.01}
{'loss': 2.6655, 'grad_norm': 8.500052452087402, 'learning_rate': 6.0296540362438224e-06, 'epoch': 0.01}
{'loss': 2.4503, 'grad_norm': 10.403229713439941, 'learning_rate': 6.062602965403625e-06, 'epoch': 0.01}
{'loss': 2.7047, 'grad_norm': 10.895325660705566, 'learning_rate': 6.095551894563428e-06, 'epoch': 0.01}
{'loss': 2.8589, 'grad_norm': 14.590005874633789, 'learning_rate': 6.128500823723229e-06, 'epoch': 0.01}
{'loss': 2.1287, 'grad_norm': 8.443216323852539, 'learning_rate': 6.161449752883032e-06, 'epoch': 0.01}
{'loss': 2.4649, 'grad_norm': 6.671160697937012, 'learning_rate': 6.194398682042834e-06, 'epoch': 0.01}
{'loss': 3.2628, 'grad_norm': 5.60159158706665, 'learning_rate': 6.227347611202636e-06, 'epoch': 0.01}
{'loss': 2.6489, 'grad_norm': 6.759786128997803, 'learning_rate': 6.260296540362438e-06, 'epoch': 0.01}
{'loss': 2.176, 'grad_norm': 6.413957118988037, 'learning_rate': 6.293245469522241e-06, 'epoch': 0.01}
{'loss': 2.0754, 'grad_norm': 11.375309944152832, 'learning_rate': 6.326194398682043e-06, 'epoch': 0.01}
{'loss': 2.878, 'grad_norm': 6.765571594238281, 'learning_rate': 6.359143327841846e-06, 'epoch': 0.01}
{'loss': 2.4915, 'grad_norm': 52.54584503173828, 'learning_rate': 6.392092257001648e-06, 'epoch': 0.01}
{'loss': 2.8581, 'grad_norm': 5.640618324279785, 'learning_rate': 6.42504118616145e-06, 'epoch': 0.01}
{'loss': 2.5766, 'grad_norm': 5.544194221496582, 'learning_rate': 6.457990115321252e-06, 'epoch': 0.01}
{'loss': 3.4135, 'grad_norm': 9.423783302307129, 'learning_rate': 6.490939044481055e-06, 'epoch': 0.01}
{'loss': 3.1735, 'grad_norm': 6.018779754638672, 'learning_rate': 6.5238879736408565e-06, 'epoch': 0.01}
{'loss': 2.7904, 'grad_norm': 7.05396842956543, 'learning_rate': 6.5568369028006595e-06, 'epoch': 0.01}
{'loss': 2.995, 'grad_norm': 7.41107177734375, 'learning_rate': 6.589785831960462e-06, 'epoch': 0.01}
{'loss': 2.1701, 'grad_norm': 7.059288024902344, 'learning_rate': 6.622734761120264e-06, 'epoch': 0.01}
{'loss': 2.3106, 'grad_norm': 5.217910289764404, 'learning_rate': 6.655683690280066e-06, 'epoch': 0.01}
{'loss': 2.7577, 'grad_norm': 6.30216646194458, 'learning_rate': 6.688632619439869e-06, 'epoch': 0.01}
{'loss': 2.4445, 'grad_norm': 12.922024726867676, 'learning_rate': 6.721581548599672e-06, 'epoch': 0.01}
{'loss': 2.4693, 'grad_norm': 4.2783026695251465, 'learning_rate': 6.754530477759473e-06, 'epoch': 0.01}
{'loss': 2.2197, 'grad_norm': 4.430971145629883, 'learning_rate': 6.787479406919276e-06, 'epoch': 0.01}
{'loss': 2.9817, 'grad_norm': 4.012948989868164, 'learning_rate': 6.8204283360790776e-06, 'epoch': 0.01}
{'loss': 2.7604, 'grad_norm': 4.028894901275635, 'learning_rate': 6.8533772652388806e-06, 'epoch': 0.01}
{'loss': 2.6026, 'grad_norm': 4.191022872924805, 'learning_rate': 6.886326194398683e-06, 'epoch': 0.01}
{'loss': 2.4866, 'grad_norm': 8.053208351135254, 'learning_rate': 6.919275123558486e-06, 'epoch': 0.01}
{'loss': 2.2015, 'grad_norm': 5.211769104003906, 'learning_rate': 6.952224052718287e-06, 'epoch': 0.01}
{'loss': 2.1287, 'grad_norm': 6.844811916351318, 'learning_rate': 6.98517298187809e-06, 'epoch': 0.01}
{'loss': 2.8748, 'grad_norm': 2.8864405155181885, 'learning_rate': 7.018121911037891e-06, 'epoch': 0.01}
{'loss': 1.9635, 'grad_norm': 6.440045356750488, 'learning_rate': 7.051070840197694e-06, 'epoch': 0.01}
{'loss': 2.7376, 'grad_norm': 3.834439516067505, 'learning_rate': 7.0840197693574965e-06, 'epoch': 0.01}
{'loss': 2.103, 'grad_norm': 11.261016845703125, 'learning_rate': 7.1169686985172995e-06, 'epoch': 0.01}
{'loss': 2.992, 'grad_norm': 2.9634759426116943, 'learning_rate': 7.149917627677101e-06, 'epoch': 0.01}
{'loss': 2.783, 'grad_norm': 6.20538330078125, 'learning_rate': 7.182866556836904e-06, 'epoch': 0.01}
{'loss': 2.3236, 'grad_norm': 7.091425895690918, 'learning_rate': 7.215815485996706e-06, 'epoch': 0.01}
{'loss': 2.1094, 'grad_norm': 8.835391998291016, 'learning_rate': 7.248764415156508e-06, 'epoch': 0.01}
{'loss': 2.0218, 'grad_norm': 5.52980899810791, 'learning_rate': 7.28171334431631e-06, 'epoch': 0.01}
{'loss': 2.7031, 'grad_norm': 8.603459358215332, 'learning_rate': 7.314662273476113e-06, 'epoch': 0.01}
{'loss': 2.0966, 'grad_norm': 9.190206527709961, 'learning_rate': 7.347611202635915e-06, 'epoch': 0.01}
{'loss': 2.4778, 'grad_norm': 4.008115768432617, 'learning_rate': 7.380560131795718e-06, 'epoch': 0.01}
{'loss': 2.2666, 'grad_norm': 4.0041184425354, 'learning_rate': 7.41350906095552e-06, 'epoch': 0.01}
{'loss': 2.1887, 'grad_norm': 5.780118465423584, 'learning_rate': 7.446457990115322e-06, 'epoch': 0.01}
{'loss': 2.1616, 'grad_norm': 2.367119312286377, 'learning_rate': 7.479406919275124e-06, 'epoch': 0.01}
{'loss': 2.0951, 'grad_norm': 2.958714485168457, 'learning_rate': 7.512355848434927e-06, 'epoch': 0.01}
{'loss': 2.3054, 'grad_norm': 3.1498966217041016, 'learning_rate': 7.545304777594728e-06, 'epoch': 0.01}
{'loss': 2.556, 'grad_norm': 3.0879621505737305, 'learning_rate': 7.578253706754531e-06, 'epoch': 0.01}
