                                                                                                                                                                           
{'loss': 2.7562, 'grad_norm': 9.34847640991211, 'learning_rate': 2.291838417147568e-06, 'epoch': 0.0}
{'loss': 2.8548, 'grad_norm': 6.96630859375, 'learning_rate': 2.3083264633140976e-06, 'epoch': 0.0}
{'loss': 3.2575, 'grad_norm': 6.339362144470215, 'learning_rate': 2.324814509480627e-06, 'epoch': 0.0}
{'loss': 2.4716, 'grad_norm': 5.558096408843994, 'learning_rate': 2.341302555647156e-06, 'epoch': 0.0}
{'loss': 3.2528, 'grad_norm': 7.119433879852295, 'learning_rate': 2.3577906018136855e-06, 'epoch': 0.0}
{'loss': 2.6574, 'grad_norm': 10.363537788391113, 'learning_rate': 2.3742786479802145e-06, 'epoch': 0.0}
{'loss': 4.1416, 'grad_norm': 4.705671310424805, 'learning_rate': 2.390766694146744e-06, 'epoch': 0.0}
{'loss': 2.3807, 'grad_norm': 11.62341594696045, 'learning_rate': 2.407254740313273e-06, 'epoch': 0.0}
{'loss': 2.8316, 'grad_norm': 22.93191909790039, 'learning_rate': 2.4237427864798024e-06, 'epoch': 0.0}
{'loss': 2.8309, 'grad_norm': 7.534213066101074, 'learning_rate': 2.440230832646332e-06, 'epoch': 0.0}
{'loss': 2.4345, 'grad_norm': 19.380294799804688, 'learning_rate': 2.456718878812861e-06, 'epoch': 0.0}
{'loss': 3.2247, 'grad_norm': 15.674629211425781, 'learning_rate': 2.4732069249793903e-06, 'epoch': 0.0}
{'loss': 2.4486, 'grad_norm': 9.313775062561035, 'learning_rate': 2.4896949711459194e-06, 'epoch': 0.0}
{'loss': 2.8024, 'grad_norm': 7.553302764892578, 'learning_rate': 2.5061830173124484e-06, 'epoch': 0.0}
{'loss': 2.7527, 'grad_norm': 5.617026329040527, 'learning_rate': 2.5226710634789782e-06, 'epoch': 0.0}
{'loss': 2.9061, 'grad_norm': 6.174718379974365, 'learning_rate': 2.539159109645507e-06, 'epoch': 0.0}
{'loss': 3.1281, 'grad_norm': 10.441690444946289, 'learning_rate': 2.5556471558120367e-06, 'epoch': 0.0}
{'loss': 2.7288, 'grad_norm': 12.045039176940918, 'learning_rate': 2.5721352019785657e-06, 'epoch': 0.0}
{'loss': 2.5547, 'grad_norm': 6.248635292053223, 'learning_rate': 2.588623248145095e-06, 'epoch': 0.0}
{'loss': 2.8578, 'grad_norm': 6.409353256225586, 'learning_rate': 2.605111294311624e-06, 'epoch': 0.0}
{'loss': 2.419, 'grad_norm': 5.190724849700928, 'learning_rate': 2.6215993404781537e-06, 'epoch': 0.0}
{'loss': 2.7476, 'grad_norm': 8.040847778320312, 'learning_rate': 2.6380873866446827e-06, 'epoch': 0.0}
{'loss': 2.4436, 'grad_norm': 13.932903289794922, 'learning_rate': 2.654575432811212e-06, 'epoch': 0.0}
{'loss': 3.2171, 'grad_norm': 11.871011734008789, 'learning_rate': 2.671063478977741e-06, 'epoch': 0.0}
{'loss': 2.3477, 'grad_norm': 7.403286933898926, 'learning_rate': 2.6875515251442706e-06, 'epoch': 0.0}
{'loss': 2.2698, 'grad_norm': 8.85413646697998, 'learning_rate': 2.7040395713107996e-06, 'epoch': 0.0}
{'loss': 3.0477, 'grad_norm': 5.981414318084717, 'learning_rate': 2.7205276174773295e-06, 'epoch': 0.0}
{'loss': 3.918, 'grad_norm': 5.49797248840332, 'learning_rate': 2.737015663643858e-06, 'epoch': 0.0}
{'loss': 2.6742, 'grad_norm': 9.523866653442383, 'learning_rate': 2.753503709810388e-06, 'epoch': 0.0}
{'loss': 2.3303, 'grad_norm': 16.347578048706055, 'learning_rate': 2.769991755976917e-06, 'epoch': 0.0}
{'loss': 2.4436, 'grad_norm': 20.19839859008789, 'learning_rate': 2.7864798021434464e-06, 'epoch': 0.0}
{'loss': 3.2445, 'grad_norm': 9.707112312316895, 'learning_rate': 2.8029678483099755e-06, 'epoch': 0.0}
{'loss': 2.6162, 'grad_norm': 13.621732711791992, 'learning_rate': 2.819455894476505e-06, 'epoch': 0.0}
{'loss': 3.1692, 'grad_norm': 9.035087585449219, 'learning_rate': 2.835943940643034e-06, 'epoch': 0.0}
{'loss': 3.1195, 'grad_norm': 9.561689376831055, 'learning_rate': 2.8524319868095634e-06, 'epoch': 0.0}
{'loss': 2.2449, 'grad_norm': 7.285024166107178, 'learning_rate': 2.8689200329760924e-06, 'epoch': 0.0}
{'loss': 2.7553, 'grad_norm': 8.553043365478516, 'learning_rate': 2.885408079142622e-06, 'epoch': 0.0}
{'loss': 2.7318, 'grad_norm': 13.406639099121094, 'learning_rate': 2.901896125309151e-06, 'epoch': 0.0}
{'loss': 3.9873, 'grad_norm': 11.954557418823242, 'learning_rate': 2.9183841714756807e-06, 'epoch': 0.0}
{'loss': 3.5896, 'grad_norm': 4.280401706695557, 'learning_rate': 2.9348722176422093e-06, 'epoch': 0.0}
{'loss': 2.2407, 'grad_norm': 9.352230072021484, 'learning_rate': 2.951360263808739e-06, 'epoch': 0.0}
{'loss': 2.8667, 'grad_norm': 5.297760963439941, 'learning_rate': 2.9678483099752682e-06, 'epoch': 0.0}
{'loss': 2.6385, 'grad_norm': 6.819652080535889, 'learning_rate': 2.9843363561417977e-06, 'epoch': 0.0}
{'loss': 3.2161, 'grad_norm': 8.088713645935059, 'learning_rate': 3.0008244023083267e-06, 'epoch': 0.0}
{'loss': 3.1311, 'grad_norm': 7.309321403503418, 'learning_rate': 3.017312448474856e-06, 'epoch': 0.0}
{'loss': 3.2317, 'grad_norm': 5.525757789611816, 'learning_rate': 3.033800494641385e-06, 'epoch': 0.0}
{'loss': 2.7321, 'grad_norm': 6.595755100250244, 'learning_rate': 3.0502885408079146e-06, 'epoch': 0.0}
{'loss': 3.0178, 'grad_norm': 7.980589389801025, 'learning_rate': 3.0667765869744436e-06, 'epoch': 0.0}
{'loss': 4.4055, 'grad_norm': 3.7999556064605713, 'learning_rate': 3.083264633140973e-06, 'epoch': 0.0}
{'loss': 2.6207, 'grad_norm': 10.703346252441406, 'learning_rate': 3.099752679307502e-06, 'epoch': 0.0}
{'loss': 2.1694, 'grad_norm': 7.002305507659912, 'learning_rate': 3.116240725474032e-06, 'epoch': 0.0}
{'loss': 2.2833, 'grad_norm': 5.318392753601074, 'learning_rate': 3.1327287716405606e-06, 'epoch': 0.0}
{'loss': 2.3227, 'grad_norm': 5.669519901275635, 'learning_rate': 3.1492168178070904e-06, 'epoch': 0.0}
{'loss': 2.2547, 'grad_norm': 16.174266815185547, 'learning_rate': 3.1657048639736195e-06, 'epoch': 0.0}
{'loss': 2.7182, 'grad_norm': 6.254255294799805, 'learning_rate': 3.182192910140149e-06, 'epoch': 0.0}
{'loss': 3.0658, 'grad_norm': 23.31119728088379, 'learning_rate': 3.198680956306678e-06, 'epoch': 0.0}
{'loss': 2.6466, 'grad_norm': 8.191542625427246, 'learning_rate': 3.2151690024732074e-06, 'epoch': 0.0}
{'loss': 2.2015, 'grad_norm': 18.406538009643555, 'learning_rate': 3.2316570486397364e-06, 'epoch': 0.0}
{'loss': 2.226, 'grad_norm': 13.424310684204102, 'learning_rate': 3.248145094806266e-06, 'epoch': 0.0}
{'loss': 3.1023, 'grad_norm': 4.429691791534424, 'learning_rate': 3.264633140972795e-06, 'epoch': 0.0}
{'loss': 2.7105, 'grad_norm': 5.988287448883057, 'learning_rate': 3.2811211871393243e-06, 'epoch': 0.0}
{'loss': 2.9187, 'grad_norm': 4.561763763427734, 'learning_rate': 3.2976092333058533e-06, 'epoch': 0.0}
{'loss': 2.0681, 'grad_norm': 4.965219974517822, 'learning_rate': 3.3140972794723832e-06, 'epoch': 0.0}
{'loss': 2.7102, 'grad_norm': 6.837122440338135, 'learning_rate': 3.330585325638912e-06, 'epoch': 0.01}
{'loss': 3.0685, 'grad_norm': 4.6130475997924805, 'learning_rate': 3.3470733718054417e-06, 'epoch': 0.01}
{'loss': 2.6517, 'grad_norm': 7.333083629608154, 'learning_rate': 3.3635614179719707e-06, 'epoch': 0.01}
{'loss': 2.6494, 'grad_norm': 5.194672107696533, 'learning_rate': 3.3800494641385e-06, 'epoch': 0.01}
{'loss': 4.012, 'grad_norm': 3.4849624633789062, 'learning_rate': 3.396537510305029e-06, 'epoch': 0.01}
{'loss': 3.8552, 'grad_norm': 5.442602157592773, 'learning_rate': 3.4130255564715586e-06, 'epoch': 0.01}
{'loss': 3.1306, 'grad_norm': 13.563652038574219, 'learning_rate': 3.4295136026380877e-06, 'epoch': 0.01}
{'loss': 2.1221, 'grad_norm': 4.4636125564575195, 'learning_rate': 3.446001648804617e-06, 'epoch': 0.01}
{'loss': 3.0249, 'grad_norm': 3.205934524536133, 'learning_rate': 3.462489694971146e-06, 'epoch': 0.01}
{'loss': 2.678, 'grad_norm': 4.955108642578125, 'learning_rate': 3.4789777411376756e-06, 'epoch': 0.01}
{'loss': 2.9713, 'grad_norm': 9.20796012878418, 'learning_rate': 3.4954657873042046e-06, 'epoch': 0.01}
{'loss': 2.6251, 'grad_norm': 8.224991798400879, 'learning_rate': 3.5119538334707345e-06, 'epoch': 0.01}
{'loss': 3.509, 'grad_norm': 5.166448593139648, 'learning_rate': 3.528441879637263e-06, 'epoch': 0.01}
{'loss': 1.9888, 'grad_norm': 6.603508949279785, 'learning_rate': 3.544929925803793e-06, 'epoch': 0.01}
{'loss': 2.1353, 'grad_norm': 7.093565940856934, 'learning_rate': 3.561417971970322e-06, 'epoch': 0.01}
{'loss': 2.2043, 'grad_norm': 6.630475997924805, 'learning_rate': 3.5779060181368514e-06, 'epoch': 0.01}
{'loss': 2.0337, 'grad_norm': 13.54460620880127, 'learning_rate': 3.5943940643033804e-06, 'epoch': 0.01}
{'loss': 2.1302, 'grad_norm': 8.078914642333984, 'learning_rate': 3.61088211046991e-06, 'epoch': 0.01}
{'loss': 2.1265, 'grad_norm': 5.077396869659424, 'learning_rate': 3.627370156636439e-06, 'epoch': 0.01}
{'loss': 2.1619, 'grad_norm': 3.804307222366333, 'learning_rate': 3.643858202802968e-06, 'epoch': 0.01}
{'loss': 3.4838, 'grad_norm': 6.212822437286377, 'learning_rate': 3.6603462489694974e-06, 'epoch': 0.01}
{'loss': 2.1172, 'grad_norm': 3.850938081741333, 'learning_rate': 3.6768342951360264e-06, 'epoch': 0.01}
{'loss': 1.9894, 'grad_norm': 8.295727729797363, 'learning_rate': 3.693322341302556e-06, 'epoch': 0.01}
{'loss': 2.0687, 'grad_norm': 5.248385429382324, 'learning_rate': 3.709810387469085e-06, 'epoch': 0.01}
{'loss': 2.5216, 'grad_norm': 7.538666725158691, 'learning_rate': 3.7262984336356143e-06, 'epoch': 0.01}
{'loss': 2.209, 'grad_norm': 4.3296990394592285, 'learning_rate': 3.7427864798021433e-06, 'epoch': 0.01}
{'loss': 2.0014, 'grad_norm': 5.846034049987793, 'learning_rate': 3.759274525968673e-06, 'epoch': 0.01}
{'loss': 2.4046, 'grad_norm': 5.545032501220703, 'learning_rate': 3.7757625721352022e-06, 'epoch': 0.01}
